Time (s),PPG Value
1.16178,-0.5796
1.171608,-0.5934
1.181448,-0.6169
1.191988,-0.5883
1.201836,-0.4949
1.211676,-0.2829
1.221532,-0.1418
1.2314,-0.3168
1.241944,-0.0176
1.251992,0.316
1.261992,0.3841
1.271996,0.4007
1.282052,0.397
1.29276,0.3838
1.30278,0.3141
1.312812,0.1407
1.322708,-0.1531
1.332552,-0.3055
1.343052,-0.4026
1.352884,-0.5379
1.362728,-0.6679
1.372572,-0.7153
1.382392,-0.7355
1.392924,-0.6884
1.402752,-0.6166
1.412612,-0.4172
1.422468,-0.2407
1.432308,-0.2298
1.442156,-0.272
1.452676,-0.2702
1.462528,-0.0079
1.472564,0.1275
1.482772,0.1311
1.49278,0.0769
1.503484,0.2169
1.513544,0.2894
1.523556,0.2164
1.533584,0.0828
1.54348,-0.0882
1.554004,-0.2786
1.563864,-0.4212
1.573692,-0.5848
1.583524,-0.609
1.593332,-0.6941
1.603852,-0.6403
1.613664,-0.6717
1.623492,-0.5503
1.63332,-0.3715
1.64316,-0.2387
1.653696,-0.1976
1.66354,-0.3014
1.673372,-0.1822
1.683376,0.2145
1.693396,0.3363
1.704144,0.2694
1.714152,0.2528
1.724172,0.3222
1.7342,0.1587
1.744128,-0.1134
1.754664,-0.2591
1.764512,-0.3941
1.774356,-0.528
1.784196,-0.5152
1.794032,-0.4331
1.80388,-0.4009
1.814376,-0.3412
1.824204,-0.342
1.83404,-0.4263
1.843892,-0.363
1.853732,-0.2056
1.864256,-0.1327
1.874108,-0.1296
1.88396,-0.0958
1.893956,0.1094
1.904648,0.1262
1.915352,0.0184
1.925364,0.0351
1.93538,0.0799
1.945408,0.1041
1.955432,0.036
1.966024,-0.0385
1.97588,-0.0914
1.98574,-0.2857
1.995576,-0.7384
2.005436,-0.8784
2.015964,-0.8646
2.0258,-1.0
2.0356,-0.9636
2.045428,-0.9206
2.055256,-0.724
2.065788,-0.3076
2.075636,-0.0327
2.0855,-0.0997
2.095328,-0.0525
2.10536,0.1542
2.116052,0.2777
2.126056,0.3394
2.136076,0.3868
2.14614,0.4002
2.156148,0.3036
2.166852,0.2204
2.176876,0.1395
2.186824,-0.2082
2.196668,-0.5581
2.2065,-0.6394
2.217036,-0.7574
2.226868,-0.7316
2.236724,-0.6003
2.246544,-0.6335
2.256384,-0.565
2.266924,-0.3934
2.276784,-0.2563
2.286648,-0.1389
2.296524,-0.2644
2.306372,-0.2381
2.317052,0.2526
2.327064,0.4503
2.337772,0.4628
2.349396,0.3847
2.3594,0.2929
2.370124,0.1413
2.380192,0.0256
2.390036,-0.1185
2.399884,-0.3594
2.409724,-0.6927
2.420264,-0.988
2.430076,-1.0
2.439888,-0.9639
2.449736,-0.9281
2.459572,-0.828
2.4701,-0.6306
2.47994,-0.5291
2.489784,-0.3684
