Time (s),PPG Value
3.0768,-0.1669
3.086744,-0.1794
3.096644,-0.1885
3.106564,-0.1972
3.116468,-0.2041
3.126348,-0.3016
3.136256,-0.3429
3.146136,-0.3332
3.156008,-0.3001
3.165884,-0.2885
3.175768,-0.2389
3.185692,-0.223
3.195576,-0.2197
3.205472,-0.1979
3.215368,-0.1855
3.225272,-0.1625
3.23522,-0.1511
3.245124,-0.1446
3.253452,-0.1296
3.263336,-0.1178
3.273224,-0.1201
3.28314,-0.1278
3.293036,-0.1289
3.302928,-0.1257
3.312808,-0.1064
3.32112,-0.1007
3.330984,-0.0746
3.340892,-0.1218
3.35078,-0.166
3.360668,-0.2457
3.370544,-0.3865
3.378844,-0.4837
3.388748,-0.5253
3.398616,-0.5486
3.4085,-0.5141
3.418364,-0.4352
3.428248,-0.2333
3.436596,-0.164
3.446472,-0.0956
3.456344,-0.0837
3.466188,-0.2129
3.476076,-0.3712
3.485948,-0.4339
3.494308,-0.3578
3.504204,-0.1976
3.51408,-0.0924
3.52408,0.0302
3.534144,0.0318
3.544088,-0.0294
3.553984,-0.0858
3.563848,-0.0753
3.572144,-0.0998
3.581984,-0.127
3.591856,-0.0901
3.601752,-0.1589
3.611632,-0.1518
3.621516,-0.2366
3.62982,-0.2651
3.6397,-0.2681
3.649636,-0.2291
3.659524,-0.3456
3.669388,-0.4185
3.67924,-0.4449
3.687548,-0.3796
3.697428,-0.1365
3.707492,0.1503
3.71754,0.3934
3.72758,0.5637
3.737592,0.6149
3.747676,0.6003
3.757756,0.4752
3.767804,0.0679
3.777652,-0.3485
3.787528,-0.4233
3.797424,-0.4748
3.807312,-0.4734
3.817172,-0.4468
3.825472,-0.4425
3.835316,-0.4246
3.845172,-0.4162
3.855084,-0.3853
3.864956,-0.3827
3.874812,-0.3775
3.883128,-0.3636
3.892988,-0.3202
3.902848,-0.2866
3.91276,-0.2664
3.922636,-0.2307
3.932508,-0.2376
3.940804,-0.2366
3.950672,-0.2354
3.96058,-0.2478
3.970456,-0.1953
3.980332,-0.1136
3.990232,-0.0281
3.998648,0.036
4.008704,0.0326
4.018736,-0.0017
4.028616,-0.0703
4.038504,-0.1272
4.048388,-0.1794
4.058276,-0.2512
4.068192,-0.3397
4.078068,-0.4433
4.086368,-0.4894
4.096232,-0.5026
4.10608,-0.4196
4.116,-0.2731
4.125872,-0.1796
4.135748,-0.2386
4.14406,-0.2627
4.153944,-0.1968
4.163864,-0.1551
4.17376,-0.0792
4.18366,-0.1
4.193544,-0.1059
4.201848,-0.1819
4.211704,-0.5143
4.221604,-0.6694
4.231464,-0.6083
4.241328,-0.4779
4.251196,-0.2298
4.259516,-0.1633
4.269416,-0.1886
4.279344,0.0133
4.289384,0.1999
4.299412,0.2445
4.309624,0.1684
4.319608,-0.2112
4.329464,-0.3003
4.339324,-0.242
4.349184,-0.226
4.359024,-0.1035
4.367336,-0.0628
4.37726,-0.0385
4.387232,0.0487
4.397296,0.0662
4.407356,0.1079
4.417444,0.1875
4.427508,0.2575
4.437556,0.3421
4.4476,0.4529
4.457636,0.4505
4.467684,0.3401
4.477788,0.0591
4.487648,-0.3004
4.497472,-0.4626
4.507336,-0.5976
4.517204,-0.6898
4.525524,-0.7121
4.535392,-0.6605
4.54524,-0.5579
4.555112,-0.4451
4.564972,-0.353
4.574876,-0.2827
4.583184,-0.2457
4.593068,-0.1594
4.602948,-0.1135
4.612848,-0.1422
4.622728,-0.1401
4.632644,-0.0607
4.642664,0.0867
4.651092,0.1833
4.661132,0.2754
4.671172,0.3015
4.681436,0.2634
4.691508,0.2146
4.70156,0.1238
4.711616,0.0329
4.721532,-0.0868
4.731396,-0.1632
4.74128,-0.1557
4.751164,-0.0301
4.76126,0.0012
4.771124,-0.169
4.781016,-0.4422
4.790912,-0.6832
4.800792,-0.7719
4.810668,-0.7757
4.818972,-0.7429
4.82884,-0.6017
4.83874,-0.4313
4.848612,-0.1688
4.858508,-0.1658
4.868376,-0.2887
4.876684,-0.3483
4.886596,-0.3986
4.896484,-0.3495
4.906376,-0.2383
4.916268,-0.2624
4.926144,-0.3313
4.93606,-0.3871
4.944376,-0.281
4.954248,-0.2478
4.96414,-0.0324
4.97418,0.0721
4.984208,0.1926
4.99448,0.1552
5.004524,0.0934
5.014588,0.0119
5.024456,-0.008
5.034316,-0.0349
5.0444,0.053
5.054444,0.0096
5.064484,0.0432
5.074492,-0.0073
5.084528,0.0123
5.094572,0.0109
5.104464,-0.1765
5.114364,-0.3026
5.12426,-0.0025
5.132708,0.2082
5.142768,0.4819
5.152788,0.5768
5.162824,0.6049
5.172908,0.6188
5.182944,0.527
5.19304,0.216
5.20288,-0.3207
5.212756,-0.4644
5.222628,-0.5358
5.232492,-0.5189
5.2424,-0.461
5.252276,-0.3708
5.26058,-0.2498
5.270452,-0.0262
5.280524,0.1219
5.290776,0.1573
5.300824,0.0532
5.310756,-0.1451
5.320612,-0.3826
5.330492,-0.5529
5.3404,-0.582
5.35026,-0.4991
5.360132,-0.3456
5.36844,-0.2611
5.378308,-0.1649
5.388196,-0.1074
5.398144,-0.1122
5.408064,-0.1456
5.417932,-0.0327
5.428012,0.22
5.438044,0.3555
5.448164,0.3716
5.458208,0.3339
5.468272,0.2605
5.478332,0.1809
5.488408,0.0878
5.498524,-0.0057
5.5084,-0.1962
5.518272,-0.3155
5.528136,-0.5302
5.53644,-0.7204
5.546336,-0.7705
5.556216,-0.8655
5.566096,-0.8556
5.575968,-0.7882
5.585848,-0.8076
5.59416,-0.7385
5.604076,-0.6343
5.613976,-0.4497
5.623856,-0.1179
5.633892,0.2067
5.643948,0.3604
5.65402,0.4397
5.664056,0.4637
5.674292,0.4081
5.68434,0.3573
5.69438,0.2561
5.704432,-0.0851
5.714308,-0.2248
5.724168,-0.32
5.734036,-0.3617
5.7439,-0.3673
5.752232,-0.3497
5.762096,-0.3884
5.771976,-0.3889
5.78184,-0.45
5.791676,-0.4266
5.799968,-0.3661
5.809904,-0.2595
5.819772,-0.262
5.829644,-0.3251
5.83952,-0.3699
5.849396,-0.4103
5.857712,-0.3893
5.867612,-0.3167
5.877484,-0.2056
5.887372,-0.0894
5.8974,0.1086
5.907472,0.1721
5.917508,0.2595
5.927612,0.2076
5.937648,-0.0245
5.94752,-0.2963
5.95742,-0.4382
5.967304,-0.5702
5.975616,-0.6189
5.985484,-0.6275
5.995348,-0.6391
6.005228,-0.6223
6.015144,-0.5581
6.025024,-0.4813
6.034908,-0.3364
6.043228,-0.2432
6.053104,-0.1484
6.063016,-0.1049
6.0729,-0.1298
6.082792,-0.1612
6.092676,-0.1854
6.101,-0.1195
6.110892,-0.0869
6.1208,0.0123
6.13084,0.1221
6.14106,0.199
6.151104,0.1772
6.161192,0.0652
6.17122,-0.0317
6.181104,-0.1502
6.190972,-0.2507
